date,methods,wave,age,age_group,education,gender,nationality,municipality,electoral_district,citizen,voting_intent
2023-02-02 13:53:00,Cati,22,24.0,16-24,Secondary education,Female,Other,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",False,No
2023-02-02 14:01:00,Cati,22,45.0,45-54,Secondary education,Female,Other,Mustamäe,Mustamäe ja Nõmme,False,No
2023-02-02 14:02:00,Cati,22,72.0,65-74,Secondary education,Female,Estonian,Jõgevamaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-02 14:03:00,Cati,22,41.0,35-44,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 14:03:00,Cati,22,40.0,35-44,Higher education,Female,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-02 14:05:00,Cati,22,32.0,25-34,Secondary education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,No
2023-02-02 14:11:00,Cati,22,72.0,65-74,Secondary education,Female,Estonian,Viljandimaa,Järva- ja Viljandimaa,True,Yes
2023-02-02 14:12:00,Cati,22,39.0,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-02 14:15:00,Cati,22,52.0,45-54,Secondary education,Female,Estonian,Mustamäe,Mustamäe ja Nõmme,True,Yes
2023-02-02 14:16:00,Cati,22,82.0,75+,Higher education,Male,Estonian,Kristiine,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-03 12:35:00,Cati,22,41.0,35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,True,Yes
2023-02-02 14:27:00,Cati,22,30.0,25-34,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-02 14:27:00,Cati,22,58.0,55-64,Secondary education,Male,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-02 14:23:00,Cati,22,26.0,25-34,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 14:27:00,Cati,22,61.0,55-64,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 14:32:00,Cati,22,56.0,55-64,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 14:34:00,Cati,22,62.0,55-64,Secondary education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 14:37:00,Cati,22,72.0,65-74,Secondary education,Male,Estonian,Tartumaa,Jõgeva- ja Tartumaa,True,Yes
2023-02-02 14:41:00,Cati,22,48.0,45-54,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,True,Yes
2023-02-02 14:45:00,Cati,22,54.0,45-54,Higher education,Male,Estonian,Haabersti,"Haabersti, Põhja-Tallinn ja Kristiine",True,Yes
2023-02-02 14:49:00,Cati,22,31.0,25-34,Higher education,Male,Estonian,Võrumaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 14:48:00,Cati,22,67.0,65-74,Higher education,Female,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 14:56:00,Cati,22,75.0,75+,Secondary education,Female,Estonian,Raplamaa,Harju- ja Raplamaa,True,Yes
2023-02-02 15:03:00,Cati,22,85.0,75+,Higher education,Male,Other,Mustamäe,Mustamäe ja Nõmme,True,Yes
2023-02-02 15:01:00,Cati,22,58.0,55-64,Secondary education,Female,Estonian,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 15:02:00,Cati,22,70.0,65-74,Secondary education,Female,Estonian,Lasnamäe,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 15:04:00,Cati,22,76.0,75+,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,True,No
2023-02-02 15:09:00,Cati,22,45.0,45-54,Higher education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 15:11:00,Cati,22,27.0,25-34,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,True,No
2023-02-02 15:15:00,Cati,22,47.0,45-54,Secondary education,Male,Estonian,Nõmme,Mustamäe ja Nõmme,True,Yes
2023-02-02 15:16:00,Cati,22,54.0,45-54,Higher education,Male,Estonian,Mustamäe,Mustamäe ja Nõmme,True,No
2023-02-02 15:18:00,Cati,22,49.0,45-54,Higher education,Male,Estonian,Tartu linn,Tartu linn,True,Yes
2023-02-02 15:19:00,Cati,22,68.0,65-74,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,True,Yes
2023-02-02 15:27:00,Cati,22,36.0,35-44,Higher education,Female,Estonian,Saaremaa,"Hiiu-, Lääne- ja Saaremaa",True,Yes
2023-02-02 15:31:00,Cati,22,46.0,45-54,Higher education,Female,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 15:39:00,Cati,22,20.0,16-24,Secondary education,Male,Estonian,Järvamaa,Järva- ja Viljandimaa,True,Yes
2023-02-02 15:46:00,Cati,22,65.0,65-74,Secondary education,Male,Estonian,Harjumaa,Harju- ja Raplamaa,True,Yes
2023-02-02 15:43:00,Cati,22,40.0,35-44,Higher education,Female,Estonian,Viljandimaa,Järva- ja Viljandimaa,True,Yes
2023-02-02 15:53:00,Cati,22,73.0,65-74,Basic education,Female,Other,Valgamaa,"Võru-, Valga- ja Põlvamaa",True,Yes
2023-02-02 15:49:00,Cati,22,60.0,55-64,Higher education,Male,Estonian,Kesklinn,"Kesklinn, Lasnamäe ja Pirita",True,Yes
2023-02-02 15:53:00,Cati,22,26.0,25-34,Secondary education,Male,Estonian,Mustamäe,Mustamäe ja Nõmme,True,Yes
2023-02-02 15:53:00,Cati,22,56.0,55-64,Secondary education,Female,Estonian,Tartu linn,Tartu linn,True,No opinion
2023-02-02 15:58:00,Cati,22,85.0,75+,Higher education,Male,Other,Põhja-Tallinn,"Haabersti, Põhja-Tallinn ja Kristiine",False,Yes
